States,2020,2021,2022
Andhra Pradesh,737,835,903
Arunachal Pradesh,78,85,70
Assam,6934,7580,4560
Bihar,7889,10198,11822
Chhattisgarh,2008,2681,2740
Goa,45,52,84
Gujarat,1198,1621,1846
Haryana,2949,3554,3891
Himachal Pradesh,343,430,413
Jharkhand,1564,1767,1899
Karnataka,2253,2879,3365
Kerala,307,364,403
Madhya Pradesh,7320,9511,10409
Maharashtra,8103,10502,12260
Manipur,81,85,100
Meghalaya,91,123,139
Mizoram,3,2,9
Nagaland,24,48,28
Odisha,4179,5625,5854
Punjab,1399,1787,1654
Rajasthan,6234,7717,8824
Sikkim,32,39,46
Tamil Nadu,765,821,737
Telangana,2056,2760,2981
Tripura,127,136,105
Uttar Pradesh,12913,14554,16263
Uttarakhand,768,819,1169
West Bengal,9309,8339,8088
