States,Below_6 _Years_M,Below_6 _Years_F,Below_6 _Years_T,6 to12 Years_M,6 to12 Years_F,6 to12 Years_T,12to16_Years_M,12to16_Years_F,12to16_Years_T,16to18_Years_M,16to18_Years_F,16to18_Years_T,18to30Years_M,18to30Years_F,18to30Years_T,30to60_Years_M,30to60_Years_F,30to60_Years_T,60_Years_above_M,60_Years_above_F,60_Years_above_T,Total_victims_M,Total_victims_F,Total_victims,Charging_rate,Population_Crore,Victims_per_1L,Victims_per_1L_M,Victims_per_1L_F
Andhra Pradesh,10,11,21,4,17,21,6,206,212,9,291,300,49,162,211,91,69,160,2,0,2,171,756,927,62.4,5.3,0.0017490566037735849,0.0003226415094339623,0.0014264150943396226
Arunachal Pradesh,0,0,0,1,4,5,5,22,27,2,10,12,4,14,18,14,5,19,0,0,0,26,55,81,39.3,0.17,0.004764705882352941,0.0015294117647058824,0.003235294117647059
Assam,1,4,5,46,166,212,156,527,683,100,1097,1197,120,1619,1739,204,1143,1347,18,45,63,645,4601,5246,24.5,3.6,0.014572222222222223,0.0017916666666666667,0.012780555555555555
Bihar,18,23,41,97,277,374,177,1172,1349,236,3027,3263,501,3438,3939,578,2252,2830,25,1,26,1632,10190,11822,63.0,12.7,0.009308661417322835,0.0012850393700787402,0.008023622047244095
Chhattisgarh,12,16,28,104,124,228,225,980,1205,189,1086,1275,11,9,20,18,3,21,0,0,0,559,2218,2777,27.4,3.0,0.009256666666666667,0.0018633333333333334,0.007393333333333333
Goa,3,2,5,2,2,4,12,28,40,2,15,17,3,11,14,4,2,6,1,0,1,27,60,87,28.6,0.18,0.004833333333333334,0.0015,0.0033333333333333335
Gujarat,11,13,24,57,29,86,169,544,713,104,627,731,76,103,179,118,38,156,2,0,2,537,1354,1891,48.3,7.3,0.00259041095890411,0.0007356164383561644,0.0018547945205479451
Haryana,15,19,34,86,46,132,246,781,1027,184,1251,1435,140,829,969,164,183,348,1,0,1,836,3109,3946,16.9,2.9,0.013606896551724137,0.002882758620689655,0.010720689655172413
Himachal Pradesh,2,1,3,0,11,11,63,130,193,19,180,199,6,20,26,6,4,10,0,0,0,96,346,442,15.8,0.8,0.005525,0.0012,0.004325
Jharkhand,0,2,2,0,1,1,16,125,141,25,483,508,583,633,1216,13,21,34,0,0,0,637,1265,1902,73.4,4.0,0.004755,0.0015925,0.0031625
Karnataka,26,16,42,76,58,134,432,833,1265,337,1361,1698,102,85,187,130,31,161,6,2,8,1109,2386,3495,9.3,7.1,0.004922535211267605,0.0015619718309859156,0.0033605633802816903
Kerala,7,2,9,20,13,33,29,94,123,12,115,127,44,22,66,43,3,46,4,1,5,159,250,409,93.7,3.5,0.0011685714285714285,0.0004542857142857143,0.0007142857142857143
Madhya Pradesh,46,61,107,256,450,706,951,2887,3838,961,4641,5602,81,135,216,52,42,94,0,0,0,2347,8216,10563,26.2,8.8,0.012003409090909089,0.002667045454545454,0.009336363636363636
Maharashtra,79,73,152,322,222,544,1160,3444,4604,1135,5424,6559,224,163,387,174,56,230,15,0,15,3109,9382,12491,20.9,12.6,0.009913492063492063,0.0024674603174603175,0.0074460317460317465
Manipur,1,1,2,0,3,3,5,15,20,3,23,26,14,19,33,20,1,21,1,0,1,44,62,106,39.1,0.38,0.002789473684210526,0.0011578947368421054,0.001631578947368421
Meghalaya,0,1,1,1,0,1,12,18,30,9,48,57,11,13,24,8,10,18,3,10,13,44,100,144,19.4,0.42,0.0034285714285714284,0.0010476190476190477,0.002380952380952381
